#options: 1280x528 fps=25/1 timebase=1/25 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:33 out:34 type:b dur:2 cpbdur:2 q:28.40 aq:29.85 tex:5745 mv:1945 misc:902 imb:2 pmb:258 smb:2380 d:- ref:0 ;
in:35 out:35 type:P dur:2 cpbdur:2 q:28.40 aq:22.45 tex:50265 mv:2602 misc:2053 imb:10 pmb:683 smb:1947 d:- ref:0 ;
in:36 out:36 type:P dur:2 cpbdur:2 q:28.40 aq:22.17 tex:82218 mv:3638 misc:2256 imb:17 pmb:925 smb:1698 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:28.40 aq:22.37 tex:122768 mv:5908 misc:2316 imb:63 pmb:1111 smb:1466 d:- ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:28.40 aq:27.81 tex:12755 mv:3624 misc:1221 imb:6 pmb:411 smb:2223 d:- ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:28.40 aq:26.20 tex:3850 mv:1552 misc:918 imb:0 pmb:195 smb:2445 d:- ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:28.40 aq:28.88 tex:4957 mv:1914 misc:705 imb:1 pmb:192 smb:2447 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:28.40 aq:22.82 tex:89669 mv:5016 misc:2059 imb:59 pmb:830 smb:1751 d:- ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:28.40 aq:26.18 tex:7839 mv:2567 misc:1162 imb:4 pmb:333 smb:2303 d:- ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:28.40 aq:31.33 tex:3839 mv:1340 misc:685 imb:0 pmb:159 smb:2481 d:- ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:28.40 aq:31.21 tex:1349 mv:805 misc:470 imb:0 pmb:88 smb:2552 d:- ref:0 ;
in:45 out:45 type:P dur:2 cpbdur:2 q:28.40 aq:23.20 tex:34385 mv:2231 misc:1784 imb:7 pmb:539 smb:2094 d:- ref:0 ;
in:46 out:46 type:P dur:2 cpbdur:2 q:28.40 aq:23.09 tex:51156 mv:3203 misc:1849 imb:19 pmb:624 smb:1997 d:- ref:0 ;
in:47 out:47 type:P dur:2 cpbdur:2 q:28.40 aq:23.36 tex:37319 mv:2111 misc:1834 imb:5 pmb:547 smb:2088 d:- ref:0 ;
in:48 out:48 type:P dur:2 cpbdur:2 q:28.40 aq:23.02 tex:71164 mv:3852 misc:2344 imb:16 pmb:938 smb:1686 d:- ref:0 ;
in:49 out:49 type:P dur:2 cpbdur:2 q:28.40 aq:22.40 tex:32709 mv:2167 misc:1860 imb:6 pmb:572 smb:2062 d:- ref:0 ;
in:53 out:50 type:P dur:2 cpbdur:2 q:28.40 aq:23.96 tex:81004 mv:4606 misc:2142 imb:60 pmb:845 smb:1735 d:- ref:0 ;
in:51 out:51 type:B dur:2 cpbdur:2 q:28.40 aq:28.82 tex:12544 mv:2843 misc:933 imb:4 pmb:270 smb:2366 d:- ref:0 ;
in:50 out:52 type:b dur:2 cpbdur:2 q:28.40 aq:30.82 tex:7651 mv:2355 misc:770 imb:2 pmb:217 smb:2421 d:- ref:0 ;
in:52 out:53 type:b dur:2 cpbdur:2 q:28.40 aq:29.15 tex:5480 mv:1832 misc:472 imb:0 pmb:148 smb:2492 d:- ref:0 ;
in:54 out:54 type:P dur:2 cpbdur:2 q:28.40 aq:23.56 tex:30839 mv:2483 misc:1350 imb:31 pmb:429 smb:2180 d:- ref:0 ;
in:55 out:55 type:P dur:2 cpbdur:2 q:28.40 aq:24.72 tex:24057 mv:2251 misc:1236 imb:11 pmb:365 smb:2264 d:- ref:0 ;
in:56 out:56 type:P dur:2 cpbdur:2 q:28.40 aq:24.59 tex:24383 mv:2228 misc:1181 imb:15 pmb:350 smb:2275 d:- ref:0 ;
in:57 out:57 type:P dur:2 cpbdur:2 q:28.40 aq:25.33 tex:21299 mv:1983 misc:1230 imb:7 pmb:350 smb:2283 d:- ref:0 ;
in:58 out:58 type:P dur:2 cpbdur:2 q:28.40 aq:24.78 tex:36094 mv:2992 misc:1418 imb:27 pmb:462 smb:2151 d:- ref:0 ;
in:59 out:59 type:P dur:2 cpbdur:2 q:28.40 aq:25.88 tex:22485 mv:1974 misc:1237 imb:7 pmb:354 smb:2279 d:- ref:0 ;
in:63 out:60 type:P dur:2 cpbdur:2 q:28.40 aq:27.51 tex:47584 mv:4306 misc:1734 imb:58 pmb:596 smb:1986 d:- ref:0 ;
